# Rate k, "Throughput: c"
0.01, 0.028141845986392206
0.11, 0.026705692688109958
0.21000000000000002, 0.02540900360958885
0.31000000000000005, 0.024232404499154675
0.41000000000000003, 0.023159950890423303
0.51, 0.02217840130794472
0.61, 0.021276667773681136
0.71, 0.0204453951247091
0.8099999999999999, 0.019676635238456613
0.9099999999999999, 0.01896359209061815
1.01, 0.018300420306226202
1.11, 0.01768206455145728
1.2100000000000002, 0.017104130422085598
1.3100000000000003, 0.016562779850438157
1.4100000000000004, 0.016054645765383173
1.5100000000000005, 0.015576761993740902
1.6100000000000005, 0.015126505319172614
1.7100000000000006, 0.014701547307716768
1.8100000000000007, 0.01429981403179369
1.9100000000000008, 0.013919452222035191
2.0100000000000007, 0.013558800681129657
2.1100000000000008, 0.013216366029417179
2.210000000000001, 0.012890802035295317
2.310000000000001, 0.012580891927153424
2.410000000000001, 0.012285533196859154
2.510000000000001, 0.01200372449473411
2.610000000000001, 0.01173455428772309
2.7100000000000013, 0.011477191010063803
2.8100000000000014, 0.011230874482238543
2.9100000000000015, 0.010994908411677681
3.0100000000000016, 0.01076865381939186
3.1100000000000017, 0.010551523261845103
3.2100000000000017, 0.01034297573804504
3.310000000000002, 0.010142512188885946
3.410000000000002, 0.009949671509920691
3.510000000000002, 0.009764027010503294
3.610000000000002, 0.009585183262070326
3.710000000000002, 0.009412773286564506
3.8100000000000023, 0.009246456042930194
3.9100000000000024, 0.009085914175453565
4.0100000000000025, 0.00893085199266662
4.110000000000002, 0.008780993649733526
4.210000000000002, 0.008636081510812374
4.310000000000001, 0.008495874670939617
4.410000000000001, 0.008360147619597413
4.510000000000001, 0.008228689030368903
4.61, 0.008101300663017622
4.71, 0.007977796365993595
4.81, 0.007858001168810243
4.909999999999999, 0.007741750454984999
5.009999999999999, 0.007628889207322539
5.1099999999999985, 0.007519271318264205
5.209999999999998, 0.007412758958851813
5.309999999999998, 0.00730922200057514
5.4099999999999975, 0.00720853748500359
5.509999999999997, 0.007110589136657299
5.609999999999997, 0.007015266915059927
5.709999999999996, 0.006922466602345006
5.809999999999996, 0.006832089423166664
5.909999999999996, 0.006744041694000544
6.009999999999995, 0.00665823449921709
6.109999999999995, 0.0065745833915730415
6.209999999999995, 0.006493008115000043
6.309999999999994, 0.006413432347777623
6.409999999999994, 0.006335783464363011
6.509999999999994, 0.006259992314315397
6.609999999999993, 0.006185993016900245
6.709999999999993, 0.006113722770091279
6.8099999999999925, 0.006043121672806309
6.909999999999992, 0.0059741325593193235
7.009999999999992, 0.005906700844886819
7.109999999999991, 0.005840774381712193
7.209999999999991, 0.005776303324449415
7.309999999999991, 0.005713240004516961
7.40999999999999, 0.005651538812555941
7.50999999999999, 0.0055911560884233935
7.60999999999999, 0.005532050018163008
7.709999999999989, 0.00547418053744254
7.809999999999989, 0.005417509240989143
7.909999999999989, 0.00536199929759244
8.00999999999999, 0.005307615370280126
8.109999999999989, 0.005254323541302483
8.209999999999988, 0.005202091241591145
8.309999999999988, 0.00515088718438393
8.409999999999988, 0.0051006813027314355
8.509999999999987, 0.0050514446906230505
8.609999999999987, 0.005003149547490293
8.709999999999987, 0.004955769125863431
8.809999999999986, 0.004909277681974458
8.909999999999986, 0.004863650429114617
9.009999999999986, 0.0048188634935689995
9.109999999999985, 0.004774893872963576
9.209999999999985, 0.004731719396871975
9.309999999999985, 0.004689318689540272
9.409999999999984, 0.004647671134598113
9.509999999999984, 0.004606756841633754
9.609999999999983, 0.004566556614519166
9.709999999999983, 0.004527051921379239
9.809999999999983, 0.004488224866106398
9.909999999999982, 0.004450058161328549
