# Rate g, "Throughput: p"
0.1, 0.0924872989638603
0.2, 0.08994210140101624
0.30000000000000004, 0.08753370298642951
0.4, 0.08525137280189495
0.5, 0.08308546971759741
0.6, 0.08102730919147257
0.7, 0.07906904831750348
0.7999999999999999, 0.07720358670079104
0.8999999999999999, 0.07542448084798975
0.9999999999999999, 0.07372587004801681
1.0999999999999999, 0.07210241201990257
1.2, 0.0705492268770367
1.3, 0.06906184819024905
1.4000000000000001, 0.06763618012770166
1.5000000000000002, 0.06626845981223406
1.6000000000000003, 0.06495522417178237
1.7000000000000004, 0.06369328067054161
1.8000000000000005, 0.062479681401702916
1.9000000000000006, 0.06131170010026281
