# Rate k, "Throughput: p"
0.01, 0.09232451039567147
0.21000000000000002, 0.08784752555368107
0.41000000000000003, 0.08378465401079187
0.6100000000000001, 0.0800809785043788
0.81, 0.07669088110221135
1.01, 0.07357615478568916
1.21, 0.07070455725022946
1.41, 0.06804869064616516
1.6099999999999999, 0.0655851246600086
1.8099999999999998, 0.06329370342309187
2.01, 0.06115699280721838
2.21, 0.05915983601575649
2.41, 0.05728899349738751
2.6100000000000003, 0.055532849088644934
2.8100000000000005, 0.05388116859661848
3.0100000000000007, 0.052324900219293084
3.210000000000001, 0.05085600858210816
3.410000000000001, 0.049467335965272204
3.610000000000001, 0.048152485662689044
3.8100000000000014, 0.04690572346127911
4.010000000000002, 0.04572189403937788
4.210000000000002, 0.0445963497133503
4.410000000000002, 0.043524889455696894
4.610000000000002, 0.04250370649771948
4.810000000000002, 0.04152934313918869
5.0100000000000025, 0.04059865163442628
5.210000000000003, 0.039708760222471204
5.410000000000003, 0.038857043528976856
5.610000000000003, 0.038041096697236335
5.810000000000003, 0.03725871271146101
6.010000000000003, 0.03650786246199316
6.2100000000000035, 0.03578667717329874
6.410000000000004, 0.035093432874345
6.610000000000004, 0.03442653663967634
6.810000000000004, 0.03378451437003518
7.010000000000004, 0.03316599991523072
7.210000000000004, 0.03256972537033362
7.410000000000005, 0.031994512400142436
7.610000000000005, 0.031439264467006234
7.810000000000005, 0.030902959854133827
8.010000000000005, 0.03038464539099541
8.210000000000004, 0.02988343079974545
8.410000000000004, 0.02939848359212192
8.610000000000003, 0.028929024455288645
8.810000000000002, 0.028474323072824756
9.010000000000002, 0.02803369433372518
9.21, 0.027606494888022543
9.41, 0.027192120012610854
9.61, 0.026790000755159776
9.809999999999999, 0.026399601327752247
